time,temp_c,rh_pct,wind_ms,solar_wm2,wet_bulb_c,globe_temp_c,WBGT,risk_construction_laborer,risk_rickshaw_driver,risk_truck_driver,risk_road_paver,risk_street_vendor,risk_delivery_rider,risk_sabzi_mandi_seller,risk_shoe_shiner,risk_kabari_wala,risk_agricultural_worker,risk_cotton_picker,risk_fisherman,risk_salt_pan_worker,risk_garbage_collector,risk_sweeper,risk_naali_safai,risk_sewage_worker,risk_brick_kiln_worker,risk_tandoor_baker,risk_textile_mill_worker,risk_glass_factory_worker,risk_steel_furnace_worker,risk_cement_factory_worker,risk_ice_factory_worker,OMGI
2015-06-18 00:00:00,29.4,83,4.02,0.0,26.99977809597888,20.644,25.968644667185213,MODERATE,SAFE,SAFE,MODERATE,SAFE,SAFE,SAFE,SAFE,SAFE,MODERATE,MODERATE,SAFE,HIGH,MODERATE,SAFE,MODERATE,MODERATE,MODERATE,MODERATE,SAFE,HIGH,HIGH,MODERATE,SAFE,4.0
2015-06-18 01:00:00,29.2,84,4.1,0.0,26.953650200281512,20.22,25.83155514019706,MODERATE,SAFE,SAFE,MODERATE,SAFE,SAFE,SAFE,SAFE,SAFE,MODERATE,MODERATE,SAFE,HIGH,MODERATE,SAFE,MODERATE,MODERATE,MODERATE,MODERATE,SAFE,HIGH,HIGH,MODERATE,SAFE,3.8
2015-06-18 02:00:00,29.0,86,4.21,0.0,27.052447731831304,19.712000000000003,25.77911341228191,MODERATE,SAFE,SAFE,MODERATE,SAFE,SAFE,SAFE,SAFE,SAFE,MODERATE,MODERATE,SAFE,HIGH,MODERATE,SAFE,MODERATE,MODERATE,MODERATE,MODERATE,SAFE,HIGH,HIGH,MODERATE,SAFE,3.8
2015-06-18 03:00:00,28.9,86,3.8,0.0,26.954909777264508,20.76,25.910436844085154,MODERATE,SAFE,SAFE,MODERATE,SAFE,SAFE,SAFE,SAFE,SAFE,MODERATE,MODERATE,SAFE,HIGH,MODERATE,SAFE,MODERATE,MODERATE,MODERATE,MODERATE,SAFE,HIGH,HIGH,MODERATE,SAFE,3.9
2015-06-18 04:00:00,28.8,87,3.93,0.0,27.00285340417959,20.296,25.84119738292571,MODERATE,SAFE,SAFE,MODERATE,SAFE,SAFE,SAFE,SAFE,SAFE,MODERATE,MODERATE,SAFE,HIGH,MODERATE,SAFE,MODERATE,MODERATE,MODERATE,MODERATE,SAFE,HIGH,HIGH,MODERATE,SAFE,3.8
2015-06-18 05:00:00,28.7,87,3.96,0.0,26.905070907621965,20.112,25.725949635335372,MODERATE,SAFE,SAFE,MODERATE,SAFE,SAFE,SAFE,SAFE,SAFE,MODERATE,MODERATE,SAFE,HIGH,MODERATE,SAFE,MODERATE,MODERATE,MODERATE,MODERATE,SAFE,HIGH,HIGH,MODERATE,SAFE,3.7
2015-06-18 06:00:00,28.7,87,3.53,2.0,26.905070907621965,21.3394,25.97142963533537,MODERATE,SAFE,SAFE,MODERATE,SAFE,SAFE,SAFE,SAFE,SAFE,MODERATE,MODERATE,SAFE,HIGH,MODERATE,SAFE,MODERATE,MODERATE,MODERATE,MODERATE,SAFE,HIGH,HIGH,MODERATE,SAFE,4.0
2015-06-18 07:00:00,29.1,84,3.55,72.0,26.856610645100623,22.5024,26.210107451570437,MODERATE,SAFE,SAFE,HIGH,SAFE,MODERATE,SAFE,SAFE,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,HIGH,MODERATE,HIGH,HIGH,MODERATE,MODERATE,4.2
2015-06-18 08:00:00,30.2,75,3.28,238.0,26.558636373998997,26.300600000000003,26.871165461799293,MODERATE,SAFE,SAFE,HIGH,SAFE,MODERATE,SAFE,SAFE,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,MODERATE,MODERATE,HIGH,MODERATE,HIGH,MODERATE,HIGH,HIGH,MODERATE,MODERATE,4.9
2015-06-18 09:00:00,31.8,64,3.18,432.0,26.287546228110426,30.4504,27.671362359677296,MODERATE,MODERATE,SAFE,HIGH,SAFE,MODERATE,MODERATE,MODERATE,MODERATE,HIGH,HIGH,MODERATE,HIGH,MODERATE,MODERATE,HIGH,HIGH,HIGH,HIGH,MODERATE,HIGH,EXTREME,MODERATE,MODERATE,5.7
