time,temp_c,rh_pct,wind_ms,solar_wm2
2015-06-18 00:00:00,29.4,83,4.02,0.0
2015-06-18 01:00:00,29.2,84,4.1,0.0
2015-06-18 02:00:00,29.0,86,4.21,0.0
2015-06-18 03:00:00,28.9,86,3.8,0.0
2015-06-18 04:00:00,28.8,87,3.93,0.0
2015-06-18 05:00:00,28.7,87,3.96,0.0
2015-06-18 06:00:00,28.7,87,3.53,2.0
2015-06-18 07:00:00,29.1,84,3.55,72.0
2015-06-18 08:00:00,30.2,75,3.28,238.0
2015-06-18 09:00:00,31.8,64,3.18,432.0
2015-06-18 10:00:00,33.5,55,2.62,629.0
2015-06-18 11:00:00,35.1,49,2.21,781.0
2015-06-18 12:00:00,35.8,48,2.77,846.0
2015-06-18 13:00:00,36.4,47,4.0,874.0
2015-06-18 14:00:00,36.6,47,4.74,846.0
2015-06-18 15:00:00,36.2,48,4.81,721.0
2015-06-18 16:00:00,35.7,51,4.84,600.0
2015-06-18 17:00:00,35.2,53,4.08,435.0
2015-06-18 18:00:00,34.3,57,4.74,227.0
2015-06-18 19:00:00,33.0,64,4.85,65.0
2015-06-18 20:00:00,32.1,69,4.49,4.0
2015-06-18 21:00:00,31.5,73,4.44,0.0
2015-06-18 22:00:00,31.1,77,4.6,0.0
2015-06-18 23:00:00,30.8,79,4.31,0.0
2015-06-19 00:00:00,30.4,80,3.93,0.0
2015-06-19 01:00:00,30.2,82,3.67,0.0
2015-06-19 02:00:00,30.0,82,3.59,0.0
2015-06-19 03:00:00,29.9,83,2.65,0.0
2015-06-19 04:00:00,29.7,83,2.6,0.0
2015-06-19 05:00:00,29.6,84,2.57,0.0
2015-06-19 06:00:00,29.5,85,2.68,2.0
2015-06-19 07:00:00,30.0,82,2.92,74.0
2015-06-19 08:00:00,31.2,73,2.92,244.0
2015-06-19 09:00:00,32.7,63,2.86,436.0
2015-06-19 10:00:00,34.2,55,2.75,631.0
2015-06-19 11:00:00,35.6,49,2.73,784.0
2015-06-19 12:00:00,36.6,44,2.81,886.0
2015-06-19 13:00:00,37.4,42,3.2,921.0
2015-06-19 14:00:00,37.9,42,4.29,891.0
2015-06-19 15:00:00,37.3,43,6.02,764.0
2015-06-19 16:00:00,36.3,46,6.31,524.0
