time,temp_c,rh_pct,wind_ms,solar_wm2
2026-09-22 00:00:00,28.5,82,2.03,0.0
2026-09-22 01:00:00,27.9,84,2.33,0.0
2026-09-22 02:00:00,27.8,82,2.75,0.0
2026-09-22 03:00:00,27.7,78,2.51,0.0
2026-09-22 04:00:00,27.6,77,2.23,0.0
2026-09-22 05:00:00,28.2,74,2.23,0.0
2026-09-22 06:00:00,27.8,76,2.17,0.0
2026-09-22 07:00:00,27.9,77,1.98,18.0
2026-09-22 08:00:00,29.4,72,1.45,159.0
2026-09-22 09:00:00,31.9,60,1.38,369.0
2026-09-22 10:00:00,34.3,47,1.5,572.0
2026-09-22 11:00:00,35.7,42,2.14,733.0
2026-09-22 12:00:00,35.9,46,3.1,835.0
2026-09-22 13:00:00,35.2,51,3.93,864.0
2026-09-22 14:00:00,34.9,50,3.97,786.0
2026-09-22 15:00:00,34.8,49,3.73,675.0
2026-09-22 16:00:00,34.0,52,3.58,526.0
2026-09-22 17:00:00,32.6,57,3.11,334.0
2026-09-22 18:00:00,30.9,64,2.67,129.0
2026-09-22 19:00:00,29.5,76,2.17,8.0
2026-09-22 20:00:00,28.9,80,2.47,0.0
2026-09-22 21:00:00,28.5,83,2.47,0.0
2026-09-22 22:00:00,28.3,84,2.56,0.0
2026-09-22 23:00:00,27.9,86,2.55,0.0
2026-09-23 00:00:00,27.7,87,2.43,0.0
2026-09-23 01:00:00,27.5,88,2.33,0.0
2026-09-23 02:00:00,27.3,88,2.47,0.0
2026-09-23 03:00:00,27.1,85,2.8,0.0
2026-09-23 04:00:00,27.0,83,2.93,0.0
2026-09-23 05:00:00,26.9,84,2.66,0.0
2026-09-23 06:00:00,26.8,85,2.6,0.0
2026-09-23 07:00:00,27.0,84,2.82,17.0
2026-09-23 08:00:00,28.5,76,3.25,159.0
2026-09-23 09:00:00,30.1,68,3.51,370.0
2026-09-23 10:00:00,31.4,61,3.72,573.0
2026-09-23 11:00:00,32.3,58,4.1,735.0
2026-09-23 12:00:00,32.9,53,4.39,837.0
2026-09-23 13:00:00,33.4,48,4.58,869.0
2026-09-23 14:00:00,33.2,50,4.46,826.0
2026-09-23 15:00:00,32.5,55,4.43,712.0
2026-09-23 16:00:00,32.0,56,4.21,541.0
2026-09-23 17:00:00,31.0,60,3.7,334.0
2026-09-23 18:00:00,29.7,68,3.19,127.0
2026-09-23 19:00:00,28.7,77,2.93,8.0
2026-09-23 20:00:00,28.3,80,3.02,0.0
2026-09-23 21:00:00,28.1,81,2.56,0.0
2026-09-23 22:00:00,27.7,84,2.31,0.0
2026-09-23 23:00:00,27.4,87,2.8,0.0
2026-09-24 00:00:00,27.4,87,3.24,0.0
2026-09-24 01:00:00,27.3,86,3.31,0.0
2026-09-24 02:00:00,27.1,87,3.65,0.0
2026-09-24 03:00:00,26.9,90,3.78,0.0
2026-09-24 04:00:00,26.8,91,3.61,0.0
2026-09-24 05:00:00,26.7,92,3.49,0.0
2026-09-24 06:00:00,26.6,91,3.63,0.0
2026-09-24 07:00:00,26.9,90,3.75,16.0
2026-09-24 08:00:00,28.3,80,4.11,150.0
2026-09-24 09:00:00,29.7,69,4.36,350.0
2026-09-24 10:00:00,30.7,65,4.37,541.0
2026-09-24 11:00:00,31.3,62,4.55,670.0
2026-09-24 12:00:00,31.7,60,4.81,744.0
2026-09-24 13:00:00,31.6,62,4.81,749.0
2026-09-24 14:00:00,31.7,62,4.95,782.0
2026-09-24 15:00:00,31.3,64,4.9,703.0
2026-09-24 16:00:00,30.5,69,4.75,533.0
2026-09-24 17:00:00,29.6,73,4.31,327.0
2026-09-24 18:00:00,28.6,79,3.98,122.0
2026-09-24 19:00:00,27.9,84,3.38,7.0
2026-09-24 20:00:00,27.6,87,3.34,0.0
2026-09-24 21:00:00,27.4,88,2.95,0.0
2026-09-24 22:00:00,27.3,88,2.86,0.0
2026-09-24 23:00:00,27.2,88,3.08,0.0
2026-09-25 00:00:00,27.0,89,3.23,0.0
2026-09-25 01:00:00,26.9,90,3.18,0.0
2026-09-25 02:00:00,26.7,90,3.38,0.0
2026-09-25 03:00:00,26.8,88,3.78,0.0
2026-09-25 04:00:00,26.9,86,4.09,0.0
2026-09-25 05:00:00,26.7,88,4.19,0.0
2026-09-25 06:00:00,26.8,86,4.23,0.0
2026-09-25 07:00:00,27.0,85,4.22,15.0
2026-09-25 08:00:00,28.1,77,4.6,142.0
2026-09-25 09:00:00,29.3,70,4.55,330.0
2026-09-25 10:00:00,30.5,63,4.56,514.0
2026-09-25 11:00:00,31.2,59,4.83,636.0
2026-09-25 12:00:00,31.7,58,5.04,741.0
2026-09-25 13:00:00,31.9,56,5.07,725.0
2026-09-25 14:00:00,31.9,56,5.06,662.0
2026-09-25 15:00:00,30.7,63,4.96,487.0
2026-09-25 16:00:00,30.6,63,5.14,449.0
2026-09-25 17:00:00,29.8,67,5.0,288.0
2026-09-25 18:00:00,28.8,74,4.64,99.0
2026-09-25 19:00:00,28.1,78,4.51,6.0
2026-09-25 20:00:00,27.9,80,4.38,0.0
